"29","14","647","308"
"65","72","579","862"
"72","18","728","962"
"23","82","717","979"
"30","98","339","671"
"39","4","399","942"
"68","81","252","140"
"1","14","137","607"
"7","31","830","573"
"45","43","591","829"
"46","71","454","937"
"97","37","241","474"
"46","32","157","826"
"6","37","569","578"
"23","0","817","201"
"67","51","103","560"
"87","17","430","901"
"57","33","935","724"
"8","93","98","867"
"8","77","676","852"
"90","56","314","482"
"20","10","314","628"
"7","53","802","631"
"16","67","932","121"
"0","27","124","337"
"87","98","823","94"
"86","16","405","630"
"51","41","732","110"
"14","84","888","726"
"11","5","199","732"
"16","43","887","849"
"90","31","899","483"
"90","17","911","424"
"22","31","224","427"
"23","5","470","875"
"94","33","180","438"
"92","4","539","126"
"11","90","203","369"
"77","38","483","30"
"77","17","174","993"
"58","40","120","79"
"74","31","287","607"
"37","36","193","434"
"38","59","36","298"
"44","92","784","365"
"29","65","998","982"
"10","37","493","765"
"66","71","818","927"
"82","36","203","155"
"10","71","233","811"
"15","47","539","145"
"61","22","354","999"
"82","16","687","551"
"66","44","802","320"
"7","40","581","461"
"50","70","324","78"
"24","18","581","403"
"59","16","801","869"
"16","69","584","667"
"74","98","692","758"
"85","4","802","176"
"95","72","665","44"
"63","13","823","370"
"10","24","959","849"
"46","70","779","133"
"82","9","557","669"
"77","41","50","959"
"90","54","413","989"
"23","95","138","390"
"72","8","958","900"
"87","92","596","432"
"34","10","397","76"
"19","40","573","317"
"96","18","337","104"
"50","77","36","499"
"53","22","892","385"
"34","56","142","975"
"4","93","437","284"
"17","32","377","603"
"85","41","963","536"
"58","36","901","514"
"58","57","410","184"
"42","98","152","420"
"9","19","301","40"
"87","57","180","850"
"98","30","138","829"
"52","94","220","882"
"82","54","186","611"
"53","33","99","222"
"34","13","702","902"
"32","94","579","221"
"88","19","836","13"
"4","19","887","428"
"35","69","198","272"
"72","16","482","694"
"83","36","217","667"
"44","90","439","274"
"64","34","831","815"
"48","22","453","255"
"79","14","530","875"
"37","52","646","782"
"25","92","383","230"
"33","22","389","471"
"76","34","687","980"
"78","38","47","270"
"42","44","751","539"
"8","41","325","570"
"61","65","944","357"
"44","82","171","944"
"74","65","673","451"
"38","67","124","978"
"3","92","389","275"
"91","40","610","247"
"60","22","262","400"
"80","54","278","506"
"49","92","230","943"
"90","54","850","111"
"54","24","278","31"
"37","40","465","340"
"12","53","433","558"
"41","53","378","587"
"59","72","383","477"
"25","18","947","637"
"1","56","542","407"
"35","32","70","103"
"26","59","285","268"
"45","56","52","757"
"86","32","19","803"
"6","53","424","831"
"51","19","549","188"
"20","37","805","544"
"9","32","131","166"
"57","2","439","952"
"59","43","419","16"
"89","37","118","801"
"48","19","665","986"
"37","30","511","457"
"89","5","560","15"
"36","65","152","762"
"59","32","843","225"
"39","18","57","29"
"53","41","188","681"
"59","81","636","138"
"4","76","716","679"
"61","57","0","334"
"80","8","743","347"
"70","19","60","582"
"99","82","910","616"
"45","31","790","96"
"97","52","257","731"
"30","59","985","9"
"40","4","309","84"
"35","33","95","621"
"5","59","121","423"
"57","53","235","142"
"61","20","325","755"
"66","20","482","874"
"59","94","624","744"
"98","57","146","496"
"81","71","127","585"
"51","38","610","618"
"67","40","106","201"
"35","10","271","145"
"91","24","751","992"
"31","27","337","532"
"77","16","598","511"
"67","41","708","942"
"3","57","246","463"
"91","22","815","954"
"17","72","205","840"
"38","43","531","264"
"58","16","314","685"
"74","92","431","751"
"5","34","705","891"
"17","14","73","843"
"51","84","9","100"
"47","57","461","454"
"22","57","220","182"
"61","77","30","710"
"56","27","793","936"
"30","36","104","853"
"91","2","802","19"
"26","22","951","87"
"81","4","733","919"
"1","69","219","262"
"2","31","112","439"
"19","77","595","454"
"18","59","925","925"
"88","19","336","728"
"43","17","33","152"
"41","40","611","346"
"94","19","965","148"
"64","86","708","174"
"1","94","430","430"
"27","19","174","704"
"27","76","754","408"
"24","56","520","627"
"41","40","49","604"
"35","27","931","563"
